phase,scenario,model,trial,metric,value,median,p25,p75,lower_fence,upper_fence,ratio_to_median,classification
calibration,calibration-c1,Revon-M (forced Merkle),2,storage_bytes,2617344.0,2621440.0,2621440.0,2623488.0,2618368.0,2626560.0,0.9984375,non-timing variability candidate; retained and reviewed
calibration,calibration-c1,Revon-M (forced Merkle),5,storage_bytes,2633728.0,2621440.0,2621440.0,2623488.0,2618368.0,2626560.0,1.0046875,non-timing variability candidate; retained and reviewed
calibration,calibration-c1,Revon-log calibration,7,initial_import_ms,2264.6844,1477.6647,1444.08565,1677.2757000000001,1094.3005749999998,2027.0607750000004,1.53261047651744,timing variability candidate; retained in summary
calibration,calibration-c1,Revon-log calibration,7,checkout_ms,13.7611,7.7716,7.40845,8.63485,5.56885,10.474450000000001,1.7706907200576458,timing variability candidate; retained in summary
calibration,calibration-c1024,Revon-M (forced Merkle),1,incremental_commit_ms,496.86585,655.8045999999999,623.5763999999999,699.164075,510.19488749999977,812.5455875000002,0.757643130286064,timing variability candidate; retained in summary
calibration,calibration-c1024,Revon-log calibration,1,incremental_commit_ms,798.5343,586.682,544.5763999999999,616.4247,436.80394999999976,724.1971500000002,1.3611024370953941,timing variability candidate; retained in summary
calibration,calibration-c1024,Revon-log calibration,4,incremental_commit_ms,427.84245,586.682,544.5763999999999,616.4247,436.80394999999976,724.1971500000002,0.7292578432609147,timing variability candidate; retained in summary
calibration,calibration-c1024,Revon-log calibration,3,storage_bytes,6074368.0,6041600.0,6041600.0,6047744.0,6032384.0,6056960.0,1.0054237288135592,non-timing variability candidate; retained and reviewed
calibration,calibration-c16,Revon-M (forced Merkle),4,incremental_commit_ms,62.5294,42.14485,40.017025000000004,43.06905,35.43898750000001,47.647087499999984,1.483678314194973,timing variability candidate; retained in summary
calibration,calibration-c16,Revon-M (forced Merkle),4,diff_ms,7.3014,5.3173,4.9418,5.654450000000001,3.8728249999999984,6.723425000000002,1.373140503639065,timing variability candidate; retained in summary
calibration,calibration-c16,Revon-log calibration,5,initial_import_ms,2629.6859,1625.5438,1528.2627,1916.5750000000003,945.7942499999996,2499.0434500000006,1.6177268800754554,timing variability candidate; retained in summary
calibration,calibration-c16,Revon-log calibration,5,incremental_commit_ms,76.2993,43.86635,41.066075,53.41455,22.543362499999997,71.9372625,1.739358300838798,timing variability candidate; retained in summary
calibration,calibration-c256,Revon-M (forced Merkle),7,initial_import_ms,3056.6055,2448.9289,2412.75895,2538.2728,2224.4881749999995,2726.5435750000006,1.2481397479526664,timing variability candidate; retained in summary
calibration,calibration-c256,Revon-M (forced Merkle),7,checkout_ms,33.8036,16.4042,11.71925,17.26335,3.403100000000004,25.579499999999996,2.0606673900586436,timing variability candidate; retained in summary
calibration,calibration-c256,Revon-log calibration,6,incremental_commit_ms,405.7446,269.43835,260.724025,315.71355,178.23973749999996,398.1978375,1.5058903084880084,timing variability candidate; retained in summary
