phase,scenario,model,trials,all_correct,strategy_selected,work_unit,initial_import_ms_median,initial_import_ms_p25,initial_import_ms_p75,incremental_commit_ms_median,incremental_commit_ms_p25,incremental_commit_ms_p75,diff_ms_median,diff_ms_p25,diff_ms_p75,checkout_ms_median,checkout_ms_p25,checkout_ms_p75,storage_bytes_median,storage_bytes_p25,storage_bytes_p75,peak_memory_bytes_median,peak_memory_bytes_p25,peak_memory_bytes_p75,work_examined_median,work_examined_p25,work_examined_p75
calibration,calibration-c1,Revon-M (forced Merkle),7,True,merkle,tree node pairs,1588.2389,1454.45965,1646.82275,16.0393,15.4354,16.626125000000002,0.6602,0.6048,0.7818499999999999,8.6459,7.67865,9.9769,2621440.0,2621440.0,2623488.0,9861539.0,9861539.0,9861539.0,104.0,104.0,104.0
calibration,calibration-c1,Revon-log calibration,7,True,log,log operations,1477.6647,1444.08565,1677.2757000000001,14.407,13.984275,16.450775,0.1263,0.1215,0.14245,7.7716,7.40845,8.63485,2629632.0,2619392.0,2631680.0,9861539.0,9861539.0,9861539.0,4.0,4.0,4.0
calibration,calibration-c1024,Revon-M (forced Merkle),7,True,merkle,tree node pairs,1773.5162,1702.24215,1902.0938999999998,655.8045999999999,623.5763999999999,699.164075,85.7243,80.83475000000001,95.41955,9.5794,8.7165,10.51385,6041600.0,6037504.0,6062080.0,9861539.0,9861539.0,9861539.0,4299.0,4299.0,4299.0
calibration,calibration-c1024,Revon-log calibration,7,True,log,log operations,2106.2809,1899.4627,2267.5212,586.682,544.5763999999999,616.4247,35.5212,28.4528,35.777550000000005,12.0359,10.8353,18.43785,6041600.0,6041600.0,6047744.0,9861539.0,9861539.0,9861539.0,4096.0,4096.0,4096.0
calibration,calibration-c16,Revon-M (forced Merkle),7,True,merkle,tree node pairs,1700.2618,1631.9413,1815.01505,42.14485,40.017025000000004,43.06905,5.3173,4.9418,5.654450000000001,8.3333,7.74185,9.46125,2891776.0,2891776.0,2897920.0,9861539.0,9861539.0,9861539.0,812.0,812.0,812.0
calibration,calibration-c16,Revon-log calibration,7,True,log,log operations,1625.5438,1528.2627,1916.5750000000003,43.86635,41.066075,53.41455,0.5225,0.45785,0.5773,7.9731,7.1009,10.60205,2895872.0,2889728.0,2897920.0,9861539.0,9861539.0,9861539.0,64.0,64.0,64.0
calibration,calibration-c256,Revon-M (forced Merkle),7,True,merkle,tree node pairs,2448.9289,2412.75895,2538.2728,384.94764999999995,339.756775,400.975475,57.7675,54.93875,74.45835,16.4042,11.71925,17.26335,4075520.0,4073472.0,4091904.0,9861539.0,9861539.0,9861539.0,3744.0,3744.0,3744.0
calibration,calibration-c256,Revon-log calibration,7,True,log,log operations,2046.753,1981.7046,2228.4914,269.43835,260.724025,315.71355,8.0646,7.38855,10.032900000000001,12.5401,9.794250000000002,16.901600000000002,4067328.0,4061184.0,4073472.0,9861539.0,9861539.0,9861539.0,1024.0,1024.0,1024.0
calibration,calibration-c4,Revon-M (forced Merkle),7,True,merkle,tree node pairs,1708.8692,1658.6712,1901.3399,27.82685,25.127675,29.885749999999998,1.7815,1.63925,2.0344,8.6807,8.33745,11.8825,2723840.0,2721792.0,2727936.0,9861539.0,9861539.0,9861539.0,289.0,289.0,289.0
calibration,calibration-c4,Revon-log calibration,7,True,log,log operations,1722.8108,1509.2379999999998,1759.70645,22.3401,21.684475,25.258125,0.1996,0.1747,0.23770000000000002,7.7887,7.6702,8.91075,2719744.0,2719744.0,2725888.0,9861539.0,9861539.0,9861539.0,16.0,16.0,16.0
calibration,calibration-c64,Revon-M (forced Merkle),7,True,merkle,tree node pairs,2121.1943,2068.8507,2248.92215,118.845,107.1297,136.24865,27.9624,19.8189,30.403399999999998,14.4465,10.15395,17.65445,3207168.0,3196928.0,3207168.0,9861539.0,9861539.0,9861539.0,2057.0,2057.0,2057.0
calibration,calibration-c64,Revon-log calibration,7,True,log,log operations,2180.5381,2026.44475,2532.65185,120.25445,113.92455000000001,124.3253,2.4024,2.1042,2.9152500000000003,15.6592,11.92505,16.3542,3207168.0,3203072.0,3209216.0,9861539.0,9861539.0,9861539.0,256.0,256.0,256.0
evaluation,large-hot,Dolt,7,True,dolt-native,not exposed by Dolt CLI,3268.8405,2762.7024499999998,3588.51255,1093.50045,1073.779025,1497.810025,333.872,293.86365,376.35635,1800.638,1661.6477,1934.5533500000001,5612994.0,5612851.5,5613259.5,,,,,,
evaluation,large-hot,Log-only,7,True,operation-log,operations,528.9389,476.0843,560.573,5.2946,5.124275000000001,5.7408,22.2019,18.98665,22.3786,205.4641,189.62375,214.00619999999998,5241683.0,5241683.0,5241683.0,25819876.0,25819876.0,25819876.0,1000.0,1000.0,1000.0
evaluation,large-hot,Revon-H,7,True,log,log operations,9124.7638,9088.89545,9512.4195,199.77089999999998,196.588575,203.885175,4.5439,4.38195,4.90205,41.4611,39.2525,44.975750000000005,36098048.0,36093952.0,36126720.0,78530756.0,78530756.0,78530756.0,1000.0,1000.0,1000.0
evaluation,large-hot,Revon-M (forced Merkle),7,True,merkle,tree node pairs,9410.9166,9345.4467,9882.056799999998,213.2502,211.46654999999998,236.09515,49.9753,49.20635,50.80985,41.0992,38.47,48.5161,36098048.0,36083712.0,36110336.0,78530756.0,78530756.0,78530756.0,3489.0,3489.0,3489.0
evaluation,large-hot,Snapshot,7,True,full-scan,keys,534.0625,511.5806,563.4047499999999,505.30425,491.18795,514.6166,568.7291,527.3434,595.6650999999999,181.105,168.5235,200.97985,56100011.0,56100011.0,56100011.0,54063806.0,54063806.0,54063806.0,100010.0,100010.0,100010.0
evaluation,large-sparse,Dolt,7,True,dolt-native,not exposed by Dolt CLI,3536.2321,3182.21645,4446.10865,1453.1536,1389.3999,1714.1018,474.1657,448.2935,639.0332000000001,2163.5988,1934.0988,2196.6358,8821683.0,8821550.0,8822325.0,,,,,,
evaluation,large-sparse,Log-only,7,True,operation-log,operations,360.9017,302.52165,634.9137499999999,4.225099999999999,3.9903250000000003,6.19635,20.6551,16.16,26.38075,247.8779,141.03820000000002,293.8774,5241683.0,5241683.0,5241683.0,25819876.0,25819876.0,25819876.0,1000.0,1000.0,1000.0
evaluation,large-sparse,Revon-H,7,True,log,log operations,9766.9022,8620.03155,10061.9864,189.7457,154.33257500000002,227.369,5.5911,4.0114,6.7475000000000005,33.7591,30.38195,38.1366,36110336.0,36100096.0,36128768.0,78530756.0,78530756.0,78530756.0,1000.0,1000.0,1000.0
evaluation,large-sparse,Revon-M (forced Merkle),7,True,merkle,tree node pairs,9665.5396,9423.26975,10221.2969,232.47854999999998,191.860775,238.08679999999998,78.5873,72.4643,80.14224999999999,42.9735,38.6335,51.47825,36110336.0,36106240.0,36132864.0,78530756.0,78530756.0,78530756.0,4169.0,4169.0,4169.0
evaluation,large-sparse,Snapshot,7,True,full-scan,keys,529.0459,493.5274,617.7562,466.94515,433.08574999999996,485.313675,513.8489,496.88599999999997,633.7316000000001,189.1966,150.16675,259.1941,56100011.0,56100011.0,56100011.0,54063806.0,54063806.0,54063806.0,100010.0,100010.0,100010.0
evaluation,medium-dense,Dolt,7,True,dolt-native,not exposed by Dolt CLI,1568.8057,1468.52455,1601.1064999999999,1581.8506,1523.0902500000002,1627.653875,949.9948,893.6447000000001,1217.8463000000002,539.6847,438.4561,600.1449,5109666.0,5109598.5,5109869.0,,,,,,
evaluation,medium-dense,Log-only,7,True,operation-log,operations,55.205,53.5462,63.43775,26.5306,25.34165,27.511475,123.4722,119.84445,149.38625000000002,125.6542,118.90355,149.69510000000002,1929683.0,1929683.0,1929683.0,5571903.0,5571903.0,5571903.0,10000.0,10000.0,10000.0
