phase,scenario,model,trial,metric,value,median,p25,p75,lower_fence,upper_fence,ratio_to_median,classification
calibration,calibration-c1,Revon-M (forced Merkle),1,initial_import_ms,363.9829,198.7794,162.86245000000002,211.5453,89.83817500000006,284.569575,1.8310896400733676,timing variability candidate; retained in summary
calibration,calibration-c1,Revon-M (forced Merkle),7,diff_ms,0.2375,0.1946,0.18705,0.2064,0.15802499999999997,0.235425,1.2204522096608428,timing variability candidate; retained in summary
calibration,calibration-c1,Revon-log calibration,4,initial_import_ms,245.3641,162.9417,159.18005,176.99955,132.4508,203.7288,1.5058398187818098,timing variability candidate; retained in summary
calibration,calibration-c1,Revon-log calibration,4,incremental_commit_ms,13.6659,9.384350000000001,9.12475,10.78035,6.641350000000001,13.26375,1.4562436396766956,timing variability candidate; retained in summary
calibration,calibration-c1,Revon-log calibration,5,diff_ms,0.2353,0.1347,0.12235,0.1507,0.07982500000000001,0.193225,1.7468448403860433,timing variability candidate; retained in summary
calibration,calibration-c1,Revon-log calibration,5,checkout_ms,13.8037,11.0145,10.61045,11.70015,8.9759,13.334700000000002,1.2532298334014254,timing variability candidate; retained in summary
calibration,calibration-c1024,Revon-M (forced Merkle),5,storage_bytes,6057984.0,6029312.0,6025216.0,6033408.0,6012928.0,6045696.0,1.0047554347826086,non-timing variability candidate; retained and reviewed
calibration,calibration-c1024,Revon-M (forced Merkle),5,storage_bytes_per_logical_payload_byte,13.462186666666666,13.39847111111111,13.389368888888889,13.407573333333334,13.362062222222221,13.43488,1.0047554347826086,non-timing variability candidate; retained and reviewed
calibration,calibration-c1024,Revon-M (forced Merkle),5,storage_bytes_minus_logical_payload_bytes,5607984.0,5579312.0,5575216.0,5583408.0,5562928.0,5595696.0,1.0051389848784222,non-timing variability candidate; retained and reviewed
calibration,calibration-c1024,Revon-log calibration,1,diff_ms,32.8968,21.3631,19.076050000000002,24.51315,10.920400000000006,32.6688,1.5398888738057679,timing variability candidate; retained in summary
calibration,calibration-c16,Revon-M (forced Merkle),2,checkout_ms,24.029,14.9911,13.345749999999999,17.2958,7.4206749999999975,23.220875,1.6028843780643183,timing variability candidate; retained in summary
calibration,calibration-c16,Revon-log calibration,1,checkout_ms,22.3819,13.3936,12.523299999999999,14.73085,9.211974999999997,18.042175,1.6710891769203204,timing variability candidate; retained in summary
calibration,calibration-c256,Revon-M (forced Merkle),7,checkout_ms,17.135,12.0411,11.5155,12.956900000000001,9.353399999999997,15.119000000000003,1.4230427452641372,timing variability candidate; retained in summary
calibration,calibration-c256,Revon-log calibration,1,incremental_commit_ms,89.72865,61.535199999999996,58.016,70.11785,39.863224999999986,88.27062500000001,1.458167845395806,timing variability candidate; retained in summary
calibration,calibration-c256,Revon-log calibration,7,diff_ms,11.9696,6.3214,6.1488499999999995,7.31185,4.404349999999999,9.05635,1.8935046034106369,timing variability candidate; retained in summary
calibration,calibration-c256,Revon-log calibration,4,process_tree_peak_rss_bytes,46727168.0,47267840.0,47245312.0,47474688.0,46901248.0,47818752.0,0.9885615251299826,non-timing variability candidate; retained and reviewed
