scenario,numerator_model,denominator_model,metric,paired_trials,median_paired_ratio,ci95_low,ci95_high,interpretation,ratio_direction,interval_method
large-application-key-local,Dolt,Revon-H,initial_import_ms,7,1.60064,1.47873,1.63071,denominator faster by a practically relevant margin,latency Dolt/Revon-H; above 1 favors Revon-H,paired percentile bootstrap of median trial ratio; 20000 resamples
large-application-key-local,Dolt,Revon-H,incremental_commit_ms,7,9.22889,8.90266,9.52448,denominator faster by a practically relevant margin,latency Dolt/Revon-H; above 1 favors Revon-H,paired percentile bootstrap of median trial ratio; 20000 resamples
large-application-key-local,Dolt,Revon-H,diff_ms,7,7.13811,6.83512,9.79267,denominator faster by a practically relevant margin,latency Dolt/Revon-H; above 1 favors Revon-H,paired percentile bootstrap of median trial ratio; 20000 resamples
large-application-key-local,Dolt,Revon-H,checkout_ms,7,3.48608,3.29627,4.10035,denominator faster by a practically relevant margin,latency Dolt/Revon-H; above 1 favors Revon-H,paired percentile bootstrap of median trial ratio; 20000 resamples
large-application-key-local,Revon-M (forced Merkle),Revon-H,diff_ms,7,1.39088,1.06432,1.73765,denominator faster by a practically relevant margin,latency Revon-M (forced Merkle)/Revon-H; above 1 favors Revon-H,paired percentile bootstrap of median trial ratio; 20000 resamples
large-application-key-local,Dolt,Dolt (bulk import),initial_import_ms,7,1.08082,1.02592,1.13086,denominator faster by a practically relevant margin,latency Dolt/Dolt (bulk import); above 1 favors Dolt (bulk import),paired percentile bootstrap of median trial ratio; 20000 resamples
large-hash-route-local,Dolt,Revon-H,initial_import_ms,7,1.43401,1.31164,1.72,denominator faster by a practically relevant margin,latency Dolt/Revon-H; above 1 favors Revon-H,paired percentile bootstrap of median trial ratio; 20000 resamples
large-hash-route-local,Dolt,Revon-H,incremental_commit_ms,7,27.5404,25.5848,34.4908,denominator faster by a practically relevant margin,latency Dolt/Revon-H; above 1 favors Revon-H,paired percentile bootstrap of median trial ratio; 20000 resamples
large-hash-route-local,Dolt,Revon-H,diff_ms,7,102.441,97.4629,104.045,denominator faster by a practically relevant margin,latency Dolt/Revon-H; above 1 favors Revon-H,paired percentile bootstrap of median trial ratio; 20000 resamples
large-hash-route-local,Dolt,Revon-H,checkout_ms,7,2.9414,2.79563,3.74779,denominator faster by a practically relevant margin,latency Dolt/Revon-H; above 1 favors Revon-H,paired percentile bootstrap of median trial ratio; 20000 resamples
large-hash-route-local,Revon-M (forced Merkle),Revon-H,diff_ms,7,1.09201,0.946636,1.17006,inconclusive: interval includes parity,latency Revon-M (forced Merkle)/Revon-H; above 1 favors Revon-H,paired percentile bootstrap of median trial ratio; 20000 resamples
