phase,scenario,model,trials,all_correct,strategy_selected,work_unit,initial_import_ms_median,initial_import_ms_p25,initial_import_ms_p75,incremental_commit_ms_median,incremental_commit_ms_p25,incremental_commit_ms_p75,diff_ms_median,diff_ms_p25,diff_ms_p75,checkout_ms_median,checkout_ms_p25,checkout_ms_p75,storage_bytes_median,storage_bytes_p25,storage_bytes_p75,logical_payload_bytes_median,logical_payload_bytes_p25,logical_payload_bytes_p75,storage_bytes_per_logical_payload_byte_median,storage_bytes_per_logical_payload_byte_p25,storage_bytes_per_logical_payload_byte_p75,storage_bytes_minus_logical_payload_bytes_median,storage_bytes_minus_logical_payload_bytes_p25,storage_bytes_minus_logical_payload_bytes_p75,storage_bytes_after_compaction_median,storage_bytes_after_compaction_p25,storage_bytes_after_compaction_p75,compaction_ms_median,compaction_ms_p25,compaction_ms_p75,process_tree_peak_rss_bytes_median,process_tree_peak_rss_bytes_p25,process_tree_peak_rss_bytes_p75,work_examined_median,work_examined_p25,work_examined_p75
calibration,calibration-c1,Revon-M (forced Merkle),7,True,merkle,tree node pairs,198.7794,162.86245000000002,211.5453,9.509599999999999,9.20025,10.432425,0.1946,0.18705,0.2064,10.0772,9.85505,10.600100000000001,2621440.0,2619392.0,2625536.0,450000.0,450000.0,450000.0,5.8254222222222225,5.820871111111112,5.834524444444445,2171440.0,2169392.0,2175536.0,,,,,,,44945408.0,44685312.0,45125632.0,104.0,104.0,104.0
calibration,calibration-c1,Revon-log calibration,7,True,log,log operations,162.9417,159.18005,176.99955,9.384350000000001,9.12475,10.78035,0.1347,0.12235,0.1507,11.0145,10.61045,11.70015,2621440.0,2619392.0,2625536.0,450000.0,450000.0,450000.0,5.8254222222222225,5.820871111111112,5.834524444444445,2171440.0,2169392.0,2175536.0,,,,,,,45076480.0,44826624.0,45129728.0,4.0,4.0,4.0
calibration,calibration-c1024,Revon-M (forced Merkle),7,True,merkle,tree node pairs,177.2996,171.30245,242.75240000000002,103.5912,100.404725,129.975425,30.4562,25.84485,34.64985,13.5282,12.070599999999999,20.736800000000002,6029312.0,6025216.0,6033408.0,450000.0,450000.0,450000.0,13.39847111111111,13.389368888888889,13.407573333333334,5579312.0,5575216.0,5583408.0,,,,,,,52797440.0,52484096.0,52908032.0,4299.0,4299.0,4299.0
calibration,calibration-c1024,Revon-log calibration,7,True,log,log operations,199.4223,166.29125,250.30385,96.73910000000001,91.68119999999999,126.41067500000001,21.3631,19.076050000000002,24.51315,16.4253,15.23385,22.57285,6029312.0,6025216.0,6051840.0,450000.0,450000.0,450000.0,13.39847111111111,13.389368888888889,13.448533333333334,5579312.0,5575216.0,5601840.0,,,,,,,52834304.0,52396032.0,52922368.0,4096.0,4096.0,4096.0
calibration,calibration-c16,Revon-M (forced Merkle),7,True,merkle,tree node pairs,229.2576,195.86124999999998,306.8096,20.2697,17.627375,24.812675,0.9831,0.87525,1.30485,14.9911,13.345749999999999,17.2958,2895872.0,2889728.0,2895872.0,450000.0,450000.0,450000.0,6.435271111111111,6.421617777777778,6.435271111111111,2445872.0,2439728.0,2445872.0,,,,,,,45314048.0,45109248.0,45406208.0,812.0,812.0,812.0
calibration,calibration-c16,Revon-log calibration,7,True,log,log operations,199.8631,183.71814999999998,257.96545000000003,19.410850000000003,16.714725,22.2777,0.3978,0.34445,0.5631,13.3936,12.523299999999999,14.73085,2891776.0,2887680.0,2893824.0,450000.0,450000.0,450000.0,6.426168888888889,6.417066666666667,6.43072,2441776.0,2437680.0,2443824.0,,,,,,,45350912.0,45219840.0,45522944.0,64.0,64.0,64.0
calibration,calibration-c256,Revon-M (forced Merkle),7,True,merkle,tree node pairs,187.6199,176.4668,199.90395,56.513149999999996,54.771575,60.913775,11.7103,10.1188,13.5513,12.0411,11.5155,12.956900000000001,4083712.0,4073472.0,4085760.0,450000.0,450000.0,450000.0,9.074915555555556,9.05216,9.079466666666667,3633712.0,3623472.0,3635760.0,,,,,,,47235072.0,47155200.0,47378432.0,3744.0,3744.0,3744.0
calibration,calibration-c256,Revon-log calibration,7,True,log,log operations,175.905,164.46595,197.39175,61.535199999999996,58.016,70.11785,6.3214,6.1488499999999995,7.31185,11.7957,10.63985,13.9618,4079616.0,4077568.0,4087808.0,450000.0,450000.0,450000.0,9.065813333333333,9.061262222222222,9.084017777777778,3629616.0,3627568.0,3637808.0,,,,,,,47267840.0,47245312.0,47474688.0,1024.0,1024.0,1024.0
calibration,calibration-c4,Revon-M (forced Merkle),7,True,merkle,tree node pairs,171.7166,163.1495,215.83335,12.51355,11.819825000000002,13.775175,0.331,0.32335,0.5312,12.5523,10.428,14.5347,2732032.0,2725888.0,2738176.0,450000.0,450000.0,450000.0,6.071182222222222,6.057528888888889,6.084835555555555,2282032.0,2275888.0,2288176.0,,,,,,,45273088.0,45033472.0,45291520.0,289.0,289.0,289.0
calibration,calibration-c4,Revon-log calibration,7,True,log,log operations,180.9206,162.06015,211.6743,12.7713,11.084525,16.685175,0.1904,0.1867,0.2274,10.5469,10.17715,12.6917,2723840.0,2721792.0,2727936.0,450000.0,450000.0,450000.0,6.052977777777778,6.048426666666666,6.06208,2273840.0,2271792.0,2277936.0,,,,,,,44863488.0,44773376.0,45324288.0,16.0,16.0,16.0
