phase,scenario,model,trials,all_correct,strategy_selected,work_unit,initial_import_ms_median,initial_import_ms_p25,initial_import_ms_p75,incremental_commit_ms_median,incremental_commit_ms_p25,incremental_commit_ms_p75,diff_ms_median,diff_ms_p25,diff_ms_p75,checkout_ms_median,checkout_ms_p25,checkout_ms_p75,storage_bytes_median,storage_bytes_p25,storage_bytes_p75,process_tree_peak_rss_bytes_median,process_tree_peak_rss_bytes_p25,process_tree_peak_rss_bytes_p75,work_examined_median,work_examined_p25,work_examined_p75
calibration,calibration-c1,Revon-M (forced Merkle),7,True,merkle,tree node pairs,180.4502,177.93905,221.3761,10.34215,9.666350000000001,12.70435,0.2213,0.21534999999999999,0.25865000000000005,12.582,11.737950000000001,13.99595,2617344.0,2617344.0,2623488.0,44851200.0,44787712.0,44898304.0,104.0,104.0,104.0
calibration,calibration-c1,Revon-log calibration,7,True,log,log operations,199.1736,182.7614,247.84640000000002,10.58275,9.791924999999999,12.4253,0.1647,0.14965,0.183,14.651,12.5084,15.463650000000001,2621440.0,2621440.0,2627584.0,44793856.0,44666880.0,44865536.0,4.0,4.0,4.0
calibration,calibration-c1024,Revon-M (forced Merkle),7,True,merkle,tree node pairs,229.1261,203.89544999999998,283.6591,127.18535,104.73125,153.433475,36.905,33.26495,43.076499999999996,17.488,16.8978,18.86965,6041600.0,6037504.0,6053888.0,52158464.0,51933184.0,52371456.0,4299.0,4299.0,4299.0
calibration,calibration-c1024,Revon-log calibration,7,True,log,log operations,213.6917,204.8445,231.63205,117.87385,101.36165,136.30975,25.1981,23.76665,28.22755,17.9312,16.66275,23.6762,6049792.0,6037504.0,6057984.0,52350976.0,52219904.0,52533248.0,4096.0,4096.0,4096.0
calibration,calibration-c16,Revon-M (forced Merkle),7,True,merkle,tree node pairs,291.4116,260.67455,317.08445,26.56555,24.2027,30.129749999999998,1.3371,1.2803,1.39985,17.19,16.1193,21.72305,2891776.0,2889728.0,2895872.0,44711936.0,44609536.0,45033472.0,812.0,812.0,812.0
calibration,calibration-c16,Revon-log calibration,7,True,log,log operations,189.6647,181.10590000000002,200.62075,19.34245,18.500124999999997,21.1734,0.4643,0.4075,0.5221,13.4107,12.128599999999999,13.4955,2891776.0,2891776.0,2897920.0,44982272.0,44828672.0,45096960.0,64.0,64.0,64.0
calibration,calibration-c256,Revon-M (forced Merkle),7,True,merkle,tree node pairs,230.1591,213.3338,275.6843,69.8463,62.569275000000005,94.514025,14.1446,13.249500000000001,17.54295,17.7981,16.90905,24.984099999999998,4067328.0,4059136.0,4077568.0,46886912.0,46620672.0,47022080.0,3744.0,3744.0,3744.0
calibration,calibration-c256,Revon-log calibration,7,True,log,log operations,249.8459,237.7129,255.59709999999998,60.301249999999996,58.289825,66.21015,7.9966,7.5236,8.65675,14.4018,14.03435,16.1584,4075520.0,4069376.0,4083712.0,46919680.0,46884864.0,46931968.0,1024.0,1024.0,1024.0
calibration,calibration-c4,Revon-M (forced Merkle),7,True,merkle,tree node pairs,222.4968,193.82315,296.20425,14.54585,13.93775,15.538775000000001,0.4434,0.43845,0.44735,15.8152,13.07815,17.45,2723840.0,2719744.0,2727936.0,44929024.0,44824576.0,44996608.0,289.0,289.0,289.0
calibration,calibration-c4,Revon-log calibration,7,True,log,log operations,188.3256,173.10705000000002,231.24865,13.804649999999999,13.097100000000001,15.013175,0.2078,0.17809999999999998,0.21250000000000002,13.8169,12.4271,15.09975,2723840.0,2721792.0,2729984.0,44953600.0,44800000.0,45101056.0,16.0,16.0,16.0
calibration,calibration-c64,Revon-M (forced Merkle),7,True,merkle,tree node pairs,217.1963,196.6519,290.11085,35.050250000000005,33.629,43.142775,3.6286,3.32855,4.9429,15.6674,14.826350000000001,18.463250000000002,3207168.0,3203072.0,3211264.0,45412352.0,45156352.0,45455360.0,2057.0,2057.0,2057.0
calibration,calibration-c64,Revon-log calibration,7,True,log,log operations,261.3006,242.7683,286.10985,41.445949999999996,34.273325,47.766149999999996,1.9594,1.44095,2.6459,17.6975,16.2642,19.4366,3207168.0,3203072.0,3211264.0,45707264.0,45502464.0,45979648.0,256.0,256.0,256.0
evaluation,large-hot,Dolt,7,True,dolt-native,not exposed by Dolt CLI,2546.4419,2241.40555,2757.4876999999997,1072.4499,1058.556925,1139.6545999999998,399.4963,366.78975,426.4077,1057.0065,936.63125,1081.6553,5585714.0,5585649.5,5585970.0,265125888.0,246110208.0,268507136.0,,,
evaluation,large-hot,Log-only,7,True,operation-log,operations,78.9415,72.55545000000001,83.98385,3.1833,3.1309500000000003,3.2604,30.244,27.83575,31.892500000000002,169.0115,160.76885,172.71519999999998,5241683.0,5241683.0,5241683.0,149979136.0,149772288.0,157861888.0,1000.0,1000.0,1000.0
evaluation,large-hot,Revon-H,7,True,log,log operations,1416.4643,1199.45805,1667.38485,175.76065,135.664325,184.632275,40.7244,34.62475,48.1545,260.464,231.8326,275.60720000000003,36106240.0,36098048.0,36108288.0,180072448.0,177162240.0,183459840.0,1000.0,1000.0,1000.0
evaluation,large-hot,Revon-M (forced Merkle),7,True,merkle,tree node pairs,1583.5192,1506.078,1839.3715499999998,204.48765,199.5576,240.347325,66.9332,54.7388,80.0464,296.4966,253.24054999999998,314.7814,36110336.0,36089856.0,36136960.0,180224000.0,176349184.0,184774656.0,3489.0,3489.0,3489.0
evaluation,large-hot,Snapshot,7,True,full-scan,keys,66.3466,59.055949999999996,68.7877,61.08395,55.7007,62.938050000000004,526.2519,521.4202,590.0128,116.3916,114.00085,130.88195000000002,56100011.0,56100011.0,56100011.0,161849344.0,157997056.0,161996800.0,100010.0,100010.0,100010.0
evaluation,large-sparse,Dolt,7,True,dolt-native,not exposed by Dolt CLI,2584.3783,2280.44285,3373.95565,1199.9922000000001,1110.72515,1628.0549500000002,491.7939,420.46975,664.5685,948.2395,862.4202,1343.9698,8794271.0,8794011.5,8794471.0,246677504.0,240474112.0,248014848.0,,,
evaluation,large-sparse,Log-only,7,True,operation-log,operations,61.7089,58.54375,68.06025,3.0429,3.024475,3.1929,31.3196,27.74695,36.421350000000004,148.7976,144.2191,185.5577,5241683.0,5241683.0,5241683.0,158097408.0,153714688.0,159055872.0,1000.0,1000.0,1000.0
evaluation,large-sparse,Revon-H,7,True,log,log operations,2042.6636,1501.8625000000002,2337.1222,219.5208,193.5421,255.969125,48.3926,46.96395,56.73785,307.6442,272.47569999999996,319.9411,36106240.0,36098048.0,36110336.0,185085952.0,184963072.0,185231360.0,1000.0,1000.0,1000.0
evaluation,large-sparse,Revon-M (forced Merkle),7,True,merkle,tree node pairs,1676.0073,1426.2779999999998,3462.88295,204.17955,166.03775000000002,265.185375,70.8251,64.65035,75.72905,315.067,254.70800000000003,331.92865,36106240.0,36087808.0,36110336.0,184983552.0,183695360.0,185024512.0,4169.0,4169.0,4169.0
evaluation,large-sparse,Snapshot,7,True,full-scan,keys,67.7559,61.6316,78.77475,62.7138,60.933,64.510975,577.339,559.065,604.6953000000001,127.8383,117.17605,143.40925,56100011.0,56100011.0,56100011.0,152113152.0,149821440.0,153952256.0,100010.0,100010.0,100010.0
evaluation,medium-dense,Dolt,7,True,dolt-native,not exposed by Dolt CLI,1162.4646,1121.3135000000002,1323.0612,1455.90065,1277.76055,1550.3282,827.6623,682.4066499999999,959.8874500000001,367.2144,355.84085000000005,514.9155000000001,5082384.0,5081829.5,5082558.5,153145344.0,151517184.0,154609664.0,,,
evaluation,medium-dense,Log-only,7,True,operation-log,operations,13.2168,11.86585,21.666,4.87945,4.650575,5.552,56.6294,55.5717,60.3277,39.2406,35.402,39.69205,1929683.0,1929683.0,1929683.0,45477888.0,45379584.0,45547520.0,10000.0,10000.0,10000.0
evaluation,medium-dense,Revon-H,7,True,merkle,tree node pairs,258.4953,234.97095000000002,321.24675,183.98329999999999,159.59765000000002,223.96065,99.555,79.51195,145.01835,52.4915,40.066,61.15455,11182080.0,11159552.0,11192320.0,64204800.0,64008192.0,64438272.0,4311.0,4311.0,4311.0
evaluation,medium-dense,Revon-M (forced Merkle),7,True,merkle,tree node pairs,205.8636,201.662,229.64704999999998,150.5874,150.2163,161.84154999999998,55.3622,53.6105,72.0963,22.5889,20.084400000000002,27.33115,11186176.0,11165696.0,11192320.0,64098304.0,63963136.0,64239616.0,4311.0,4311.0,4311.0
evaluation,medium-dense,Snapshot,7,True,full-scan,keys,21.4501,17.21985,23.270899999999997,11.6134,11.347725,12.031975,94.0635,88.23830000000001,104.71815000000001,11.8917,11.53055,13.29325,5610011.0,5610011.0,5610011.0,45219840.0,45051904.0,45555712.0,10010.0,10010.0,10010.0
evaluation,medium-sparse,Dolt,7,True,dolt-native,not exposed by Dolt CLI,1194.9502,1124.0232500000002,1246.1943999999999,936.6262999999999,928.471075,984.4642,333.3108,322.697,413.50865,469.7779,339.0736,525.9657500000001,940354.0,939873.5,940750.0,161972224.0,152147968.0,164040704.0,,,
evaluation,medium-sparse,Log-only,7,True,operation-log,operations,12.007,11.70225,14.40335,2.8388999999999998,2.74895,2.959825,19.007,16.024449999999998,21.68905,26.3933,24.812849999999997,37.3099,523883.0,523883.0,523883.0,38576128.0,38324224.0,38617088.0,100.0,100.0,100.0
evaluation,medium-sparse,Revon-H,7,True,log,log operations,208.3318,197.66969999999998,217.64094999999998,19.739849999999997,19.192774999999997,22.156475,0.6751,0.61835,0.7946500000000001,14.6437,14.393899999999999,17.0589,3051520.0,3049472.0,3061760.0,46460928.0,46290944.0,46569472.0,100.0,100.0,100.0
evaluation,medium-sparse,Revon-M (forced Merkle),7,True,merkle,tree node pairs,200.483,188.1233,267.8255,18.6804,18.09935,20.037075,1.51,1.4682,2.1670499999999997,13.6606,13.133199999999999,14.35235,3051520.0,3049472.0,3057664.0,46469120.0,46094336.0,46553088.0,1141.0,1141.0,1141.0
evaluation,medium-sparse,Snapshot,7,True,full-scan,keys,19.5175,15.170549999999999,19.83985,9.5901,9.34265,10.1417,70.6245,65.1569,75.56665,9.6187,8.970749999999999,11.254999999999999,5610011.0,5610011.0,5610011.0,38584320.0,38293504.0,38682624.0,10010.0,10010.0,10010.0
evaluation,small-sparse,Dolt,7,True,dolt-native,not exposed by Dolt CLI,1206.5402,919.9871499999999,1414.0457000000001,1042.46225,1012.6764499999999,1150.681725,361.4033,329.8316,422.55174999999997,399.1592,369.46385,416.35805000000005,376789.0,376330.5,376915.0,148336640.0,145381376.0,150280192.0,,,
evaluation,small-sparse,Log-only,7,True,operation-log,operations,14.3119,6.73615,15.1983,2.9426,2.7206,3.107125,15.9861,11.3253,18.12105,14.5808,12.356549999999999,15.3018,64883.0,64883.0,64883.0,30359552.0,30343168.0,30554112.0,100.0,100.0,100.0
evaluation,small-sparse,Revon-H,7,True,log,log operations,51.8967,47.9617,55.5779,13.183499999999999,12.0394,14.156274999999999,0.5294,0.5156000000000001,0.5771999999999999,1.1793,1.1223999999999998,1.26235,745472.0,741376.0,751616.0,33325056.0,33122304.0,33376256.0,100.0,100.0,100.0
evaluation,small-sparse,Revon-M (forced Merkle),7,True,merkle,tree node pairs,51.3934,46.44995,54.647999999999996,14.28415,13.65635,14.9819,1.1443,1.09505,1.32505,1.2288,1.1962000000000002,1.2927499999999998,745472.0,745472.0,753664.0,33370112.0,33318912.0,33488896.0,635.0,635.0,635.0
evaluation,small-sparse,Snapshot,7,True,full-scan,keys,6.1274,4.58445,15.11365,4.140599999999999,4.00535,4.446149999999999,36.3644,34.36,41.633849999999995,1.2236,1.10745,1.5338,561011.0,561011.0,561011.0,30371840.0,30183424.0,30662656.0,1010.0,1010.0,1010.0
