phase,scenario,model,trial,metric,value,median,p25,p75,lower_fence,upper_fence,ratio_to_median,classification
calibration,calibration-c1,Revon-log calibration,2,incremental_commit_ms,16.52355,11.50915,11.09045,13.230775000000001,7.8799624999999995,16.4412625,1.4356881264037744,timing variability candidate; retained in summary
calibration,calibration-c1,Revon-log calibration,1,diff_ms,0.1344,0.0714,0.06675,0.086,0.03787500000000002,0.11487499999999998,1.8823529411764703,timing variability candidate; retained in summary
calibration,calibration-c1024,Revon-M (forced Merkle),7,initial_import_ms,1346.3049,1036.6584,1015.93865,1063.3993500000001,944.7475999999999,1134.5904000000003,1.298696754880875,timing variability candidate; retained in summary
calibration,calibration-c1024,Revon-M (forced Merkle),3,checkout_ms,8.2258,5.6382,5.1400500000000005,5.9867,3.8700750000000013,7.2566749999999995,1.4589407967081691,timing variability candidate; retained in summary
calibration,calibration-c16,Revon-M (forced Merkle),6,initial_import_ms,1336.0013,749.7509,743.9037000000001,775.44435,696.5927250000002,822.7553249999999,1.7819269039890449,timing variability candidate; retained in summary
calibration,calibration-c16,Revon-M (forced Merkle),2,diff_ms,2.2477,1.9079,1.7927,1.9311,1.5850999999999997,2.1387,1.1781015776508204,timing variability candidate; retained in summary
calibration,calibration-c16,Revon-log calibration,5,initial_import_ms,990.0364,748.2358,741.9371000000001,768.3825999999999,702.2688500000004,808.0508499999996,1.323160960755954,timing variability candidate; retained in summary
calibration,calibration-c16,Revon-log calibration,1,storage_bytes,2883584.0,2879488.0,2877440.0,2879488.0,2874368.0,2882560.0,1.0014224751066856,non-timing variability candidate; retained and reviewed
calibration,calibration-c16,Revon-log calibration,3,storage_bytes,2867200.0,2879488.0,2877440.0,2879488.0,2874368.0,2882560.0,0.9957325746799431,non-timing variability candidate; retained and reviewed
calibration,calibration-c256,Revon-M (forced Merkle),7,initial_import_ms,1300.942,869.9122,838.90095,917.16565,721.5038999999999,1034.5627000000002,1.4954865559995596,timing variability candidate; retained in summary
calibration,calibration-c256,Revon-log calibration,7,initial_import_ms,797.2369,858.5824,848.20145,880.8394499999999,799.2444500000001,929.7964499999998,0.9285502474777028,timing variability candidate; retained in summary
calibration,calibration-c256,Revon-log calibration,4,diff_ms,2.2313,2.8687,2.8188,2.98915,2.563275,3.244675,0.7778087635514345,timing variability candidate; retained in summary
calibration,calibration-c256,Revon-log calibration,6,checkout_ms,6.7109,4.454,3.9071,4.97795,2.3008249999999997,6.584225,1.5067130669061517,timing variability candidate; retained in summary
calibration,calibration-c4,Revon-log calibration,1,incremental_commit_ms,17.2968,15.4656,15.167024999999999,15.593425,14.527424999999997,16.233025,1.1184047175667289,timing variability candidate; retained in summary
calibration,calibration-c4,Revon-log calibration,6,incremental_commit_ms,14.0624,15.4656,15.167024999999999,15.593425,14.527424999999997,16.233025,0.909269604800331,timing variability candidate; retained in summary
calibration,calibration-c4,Revon-log calibration,2,diff_ms,0.1633,0.1093,0.1028,0.1259,0.06814999999999999,0.16055000000000003,1.494053064958829,timing variability candidate; retained in summary
calibration,calibration-c64,Revon-M (forced Merkle),5,diff_ms,5.4078,5.9098,5.843999999999999,6.014749999999999,5.5878749999999995,6.270874999999999,0.9150563470845038,timing variability candidate; retained in summary
