phase,scenario,model,trials,all_correct,strategy_selected,work_unit,initial_import_ms_median,initial_import_ms_p25,initial_import_ms_p75,incremental_commit_ms_median,incremental_commit_ms_p25,incremental_commit_ms_p75,diff_ms_median,diff_ms_p25,diff_ms_p75,checkout_ms_median,checkout_ms_p25,checkout_ms_p75,storage_bytes_median,storage_bytes_p25,storage_bytes_p75,peak_memory_bytes_median,peak_memory_bytes_p25,peak_memory_bytes_p75,work_examined_median,work_examined_p25,work_examined_p75
calibration,calibration-c1,Chronos-M (forced Merkle),7,True,merkle,tree node pairs,752.2467,739.59165,778.9947,11.84295,11.37565,12.156375,0.2298,0.2187,0.2616,3.3947,3.06575,3.62975,2625536.0,2623488.0,2627584.0,10118495.0,10118495.0,10118495.0,104.0,104.0,104.0
calibration,calibration-c1,Chronos-log calibration,7,True,log,log operations,845.6184,759.0314,1116.65075,11.50915,11.09045,13.230775000000001,0.0714,0.06675,0.086,3.1823,3.1489000000000003,5.1835,2625536.0,2625536.0,2629632.0,10118495.0,10118495.0,10118495.0,4.0,4.0,4.0
calibration,calibration-c1024,Chronos-M (forced Merkle),7,True,merkle,tree node pairs,1036.6584,1015.93865,1063.3993500000001,337.24005,310.6625,348.57855,49.8987,47.485749999999996,54.33065,5.6382,5.1400500000000005,5.9867,6049792.0,6025216.0,6055936.0,10118495.0,10118495.0,10118495.0,4299.0,4299.0,4299.0
calibration,calibration-c1024,Chronos-log calibration,7,True,log,log operations,920.7416,910.9959,1060.86105,356.10615,306.95395,370.407,15.6796,14.92,18.042900000000003,7.3922,6.79345,8.76815,6049792.0,6041600.0,6057984.0,10118495.0,10118495.0,10118495.0,4096.0,4096.0,4096.0
calibration,calibration-c16,Chronos-M (forced Merkle),7,True,merkle,tree node pairs,749.7509,743.9037000000001,775.44435,23.085250000000002,22.27845,24.091700000000003,1.9079,1.7927,1.9311,3.4239,3.0038,3.8105,2875392.0,2871296.0,2875392.0,10118495.0,10118495.0,10118495.0,812.0,812.0,812.0
calibration,calibration-c16,Chronos-log calibration,7,True,log,log operations,748.2358,741.9371000000001,768.3825999999999,22.64455,22.3656,23.323999999999998,0.2396,0.22625,0.256,3.0859,2.76125,3.62025,2879488.0,2877440.0,2879488.0,10118495.0,10118495.0,10118495.0,64.0,64.0,64.0
calibration,calibration-c256,Chronos-M (forced Merkle),7,True,merkle,tree node pairs,869.9122,838.90095,917.16565,133.2614,126.1266,134.18705,16.6488,15.5663,18.0845,4.6721,4.38915,6.2631499999999996,4075520.0,4061184.0,4079616.0,10118495.0,10118495.0,10118495.0,3744.0,3744.0,3744.0
calibration,calibration-c256,Chronos-log calibration,7,True,log,log operations,858.5824,848.20145,880.8394499999999,130.55935,120.35955,135.3737,2.8687,2.8188,2.98915,4.454,3.9071,4.97795,4059136.0,4057088.0,4067328.0,10118495.0,10118495.0,10118495.0,1024.0,1024.0,1024.0
calibration,calibration-c4,Chronos-M (forced Merkle),7,True,merkle,tree node pairs,745.0455,732.85355,762.94525,15.3083,14.890225000000001,15.932300000000001,0.6144,0.6044499999999999,0.6845000000000001,3.544,3.40855,4.307650000000001,2732032.0,2725888.0,2732032.0,10118495.0,10118495.0,10118495.0,289.0,289.0,289.0
calibration,calibration-c4,Chronos-log calibration,7,True,log,log operations,782.6297,756.4244,783.7293,15.4656,15.167024999999999,15.593425,0.1093,0.1028,0.1259,3.3959,3.1411,3.636,2727936.0,2725888.0,2729984.0,10118495.0,10118495.0,10118495.0,16.0,16.0,16.0
calibration,calibration-c64,Chronos-M (forced Merkle),7,True,merkle,tree node pairs,826.8887,792.28945,829.5135499999999,49.18845,43.973925,51.704175,5.9098,5.843999999999999,6.014749999999999,3.9938,3.7938,4.377800000000001,3227648.0,3221504.0,3227648.0,10118495.0,10118495.0,10118495.0,2057.0,2057.0,2057.0
calibration,calibration-c64,Chronos-log calibration,7,True,log,log operations,858.7097,793.6001,873.9204,51.3511,49.894850000000005,55.4409,0.7862,0.77305,0.81325,5.0717,3.68825,6.45375,3219456.0,3211264.0,3225600.0,10118495.0,10118495.0,10118495.0,256.0,256.0,256.0
evaluation,large-hot,Chronos-H,7,True,log,log operations,4748.0921,4731.7111,4774.9346000000005,126.396,123.43594999999999,126.87295,2.0306,2.0265,2.05,18.9212,18.54405,20.0626,36110336.0,36106240.0,36118528.0,81061416.0,81061416.0,81061416.0,1000.0,1000.0,1000.0
evaluation,large-hot,Chronos-M (forced Merkle),7,True,merkle,tree node pairs,4743.5146,4724.6278999999995,4751.34705,124.59514999999999,123.54245,125.284525,20.3478,19.880200000000002,20.91965,19.9216,18.25225,20.974,36110336.0,36106240.0,36122624.0,81061416.0,81061416.0,81061416.0,3489.0,3489.0,3489.0
