phase,scenario,model,trials,all_correct,strategy_selected,work_unit,initial_import_ms_median,initial_import_ms_p25,initial_import_ms_p75,incremental_commit_ms_median,incremental_commit_ms_p25,incremental_commit_ms_p75,diff_ms_median,diff_ms_p25,diff_ms_p75,checkout_ms_median,checkout_ms_p25,checkout_ms_p75,storage_bytes_median,storage_bytes_p25,storage_bytes_p75,logical_payload_bytes_median,logical_payload_bytes_p25,logical_payload_bytes_p75,storage_bytes_per_logical_payload_byte_median,storage_bytes_per_logical_payload_byte_p25,storage_bytes_per_logical_payload_byte_p75,storage_bytes_minus_logical_payload_bytes_median,storage_bytes_minus_logical_payload_bytes_p25,storage_bytes_minus_logical_payload_bytes_p75,storage_bytes_after_compaction_median,storage_bytes_after_compaction_p25,storage_bytes_after_compaction_p75,compaction_ms_median,compaction_ms_p25,compaction_ms_p75,process_tree_peak_rss_bytes_median,process_tree_peak_rss_bytes_p25,process_tree_peak_rss_bytes_p75,process_tree_cpu_seconds_median,process_tree_cpu_seconds_p25,process_tree_cpu_seconds_p75,process_tree_read_bytes_median,process_tree_read_bytes_p25,process_tree_read_bytes_p75,process_tree_write_bytes_median,process_tree_write_bytes_p25,process_tree_write_bytes_p75,commit_operations_per_second_median,commit_operations_per_second_p25,commit_operations_per_second_p75,work_examined_median,work_examined_p25,work_examined_p75
robustness,robust-s1-baseline,Dolt,7,True,dolt-native,not exposed by Dolt CLI,749.6953,652.9244,923.37895,741.9902999999999,710.65465,809.50185,293.6313,278.51935000000003,304.8167,299.7395,281.16315,319.39255,2974719.0,2974597.0,2974782.5,450000.0,450000.0,450000.0,6.610486666666667,6.6102155555555555,6.610627777777777,2524719.0,2524597.0,2524782.5,,,,,,,157175808.0,153632768.0,161763328.0,9.578125,9.1953125,11.015625,71256789.0,71255503.5,71261930.5,5831977.0,5824132.5,5834327.5,1.2953304619224852,1.1922146692544446,1.3843870124826094,,,
robustness,robust-s1-baseline,Revon-H,7,True,log,log operations,164.3003,158.85315,169.0319,30.4724,29.019824999999997,35.51005,6.6873,5.7405,7.1944,11.2889,10.82695,13.5852,4460544.0,4444160.0,4478976.0,450000.0,450000.0,450000.0,9.91232,9.875911111111112,9.95328,4010544.0,3994160.0,4028976.0,,,,,,,53264384.0,53127168.0,53329920.0,0.796875,0.734375,0.828125,12615816.0,11049096.0,12730504.0,34295002.0,34223166.0,34434308.5,30.689494740434387,28.13209599834442,33.20697696588989,1000.0,1000.0,1000.0
robustness,robust-s1-baseline,Revon-M (forced Merkle),7,True,merkle,tree node pairs,166.1519,164.47555,169.23090000000002,31.913,28.7501,32.130025,9.3524,8.796,11.6969,11.8104,11.31765,12.49195,4456448.0,4450304.0,4464640.0,450000.0,450000.0,450000.0,9.903217777777778,9.889564444444446,9.921422222222223,4006448.0,4000304.0,4014640.0,,,,,,,53100544.0,52996096.0,53592064.0,0.796875,0.765625,0.8203125,11001992.0,10913928.0,11053192.0,34231351.0,34166579.5,34388975.0,32.05581301716044,30.191806410222632,33.16253789357024,3774.0,3774.0,3774.0
robustness,robust-s1-history-50,Dolt,7,True,dolt-native,not exposed by Dolt CLI,903.4045,838.90355,942.5572500000001,625.18135,613.871875,644.2536749999999,359.0463,344.9566,366.8002,243.302,238.78945,268.63935000000004,13055095.0,13054959.5,13055181.5,450000.0,450000.0,450000.0,29.011322222222223,29.011021111111113,29.011514444444444,12605095.0,12604959.5,12605181.5,,,,,,,169291776.0,168431616.0,174462976.0,33.015625,31.2265625,33.4140625,1063206116.0,1053379716.5,1065472696.0,27228457.0,27086456.0,27342211.5,1.5635867025306756,1.5273290830344854,1.5984628595808352,,,
robustness,robust-s1-history-50,Revon-H,7,True,merkle,tree node pairs,160.6109,156.51254999999998,162.33925,43.262550000000005,42.0409,43.7588,50.5508,46.31045,52.737449999999995,23.291,22.94965,27.13305,11698176.0,11677696.0,11716608.0,450000.0,450000.0,450000.0,25.995946666666665,25.950435555555558,26.036906666666667,11248176.0,11227696.0,11266608.0,,,,,,,72364032.0,72075264.0,72587264.0,2.5,2.4921875,2.5390625,101229322.0,99239542.0,104948490.0,215277120.0,215014127.0,215979907.5,22.50938191038025,20.760933170796637,24.124983407670744,4309.0,4309.0,4309.0
robustness,robust-s1-history-50,Revon-M (forced Merkle),7,True,merkle,tree node pairs,149.8031,138.9786,157.96519999999998,44.32035,42.1446,47.257275,46.7368,29.7475,47.768100000000004,23.1328,18.68415,23.662,11747328.0,11694080.0,11753472.0,450000.0,450000.0,450000.0,26.105173333333333,25.986844444444444,26.118826666666664,11297328.0,11244080.0,11303472.0,,,,,,,72286208.0,72093696.0,72886272.0,2.71875,2.5390625,2.8828125,98902794.0,98338277.0,105845514.0,215842187.0,215756506.0,216359161.0,19.99715720413186,19.067090645543505,23.22678412133549,4309.0,4309.0,4309.0
robustness,robust-s1-payload-128,Dolt,7,True,dolt-native,not exposed by Dolt CLI,694.5142,619.7163,817.0033000000001,599.7097,593.130625,634.974475,226.1326,218.34875,291.5589,241.5607,229.4187,245.73995000000002,3241951.0,3241943.5,3242268.0,1410000.0,1410000.0,1410000.0,2.299256028368794,2.2992507092198577,2.2994808510638296,1831951.0,1831943.5,1832268.0,,,,,,,155660288.0,154714112.0,170387456.0,8.109375,7.78125,8.6015625,89056283.0,89055155.5,89063054.5,9612189.0,9593003.5,9621617.5,1.591109820261393,1.565875303794018,1.6468837003050107,,,
robustness,robust-s1-payload-128,Revon-H,7,True,log,log operations,162.4837,161.2495,164.26760000000002,37.40435,37.002224999999996,38.101699999999994,6.1727,5.9864,6.61015,14.1405,13.58765,14.158000000000001,7671808.0,7663616.0,7684096.0,1410000.0,1410000.0,1410000.0,5.440998581560284,5.435188652482269,5.449713475177305,6261808.0,6253616.0,6274096.0,,,,,,,56918016.0,56788992.0,57108480.0,0.734375,0.7265625,0.75,22594994.0,22506271.0,22688872.5,47876607.0,47749555.0,48108279.0,26.456706245899213,25.473617779907325,27.041020323693992,1000.0,1000.0,1000.0
robustness,robust-s1-payload-128,Revon-M (forced Merkle),7,True,merkle,tree node pairs,168.5815,165.65865,175.75164999999998,38.383250000000004,37.99395,38.966625,9.6209,9.08915,10.3566,14.8468,14.126349999999999,15.23995,7680000.0,7673856.0,7696384.0,1410000.0,1410000.0,1410000.0,5.446808510638298,5.442451063829788,5.458428368794326,6270000.0,6263856.0,6286384.0,,,,,,,57139200.0,56821760.0,57184256.0,0.765625,0.75,0.7734375,22646924.0,22561567.0,22772511.0,47970956.0,47880734.5,48110346.5,25.597935782458503,25.374056747644453,25.993885115062717,3774.0,3774.0,3774.0
robustness,robust-s1-range-local,Dolt,7,True,dolt-native,not exposed by Dolt CLI,985.9635,810.87085,1003.4422500000001,686.3372999999999,671.848925,699.816925,244.8378,235.19915,260.31260000000003,254.2858,249.8834,274.5316,785014.0,785007.5,785250.5,450000.0,450000.0,450000.0,1.7444755555555556,1.7444611111111112,1.7450011111111112,335014.0,335007.5,335250.5,,,,,,,158371840.0,154478592.0,162494464.0,9.078125,8.7265625,9.234375,28457036.0,28448001.5,28458277.0,3237047.0,3216125.0,3246207.5,1.4013488066344784,1.381816928234675,1.4223321317742648,,,
