phase,scenario,model,trials,all_correct,strategy_selected,work_unit,initial_import_ms_median,initial_import_ms_p25,initial_import_ms_p75,incremental_commit_ms_median,incremental_commit_ms_p25,incremental_commit_ms_p75,diff_ms_median,diff_ms_p25,diff_ms_p75,checkout_ms_median,checkout_ms_p25,checkout_ms_p75,storage_bytes_median,storage_bytes_p25,storage_bytes_p75,logical_payload_bytes_median,logical_payload_bytes_p25,logical_payload_bytes_p75,storage_bytes_per_logical_payload_byte_median,storage_bytes_per_logical_payload_byte_p25,storage_bytes_per_logical_payload_byte_p75,storage_bytes_minus_logical_payload_bytes_median,storage_bytes_minus_logical_payload_bytes_p25,storage_bytes_minus_logical_payload_bytes_p75,storage_bytes_after_compaction_median,storage_bytes_after_compaction_p25,storage_bytes_after_compaction_p75,compaction_ms_median,compaction_ms_p25,compaction_ms_p75,process_tree_peak_rss_bytes_median,process_tree_peak_rss_bytes_p25,process_tree_peak_rss_bytes_p75,process_tree_cpu_seconds_median,process_tree_cpu_seconds_p25,process_tree_cpu_seconds_p75,process_tree_read_bytes_median,process_tree_read_bytes_p25,process_tree_read_bytes_p75,process_tree_write_bytes_median,process_tree_write_bytes_p25,process_tree_write_bytes_p75,commit_operations_per_second_median,commit_operations_per_second_p25,commit_operations_per_second_p75,work_examined_median,work_examined_p25,work_examined_p75
robustness,robust-s1-baseline,Dolt,3,True,dolt-native,not exposed by Dolt CLI,210.607486,206.2271425,210.6693125,134.502141,134.166587,137.718293,60.321845,59.6990825,61.3103965,68.78115,68.4006015,68.8650935,2974329.0,2974297.0,2974410.0,450000.0,450000.0,450000.0,6.60962,6.609548888888888,6.6098,2524329.0,2524297.0,2524410.0,,,,,,,147959808.0,147662848.0,148697088.0,1.84,1.8250000000000002,1.8650000000000002,221184.0,208896.0,681984.0,61440.0,61440.0,67584.0,7.385999323625636,7.265062077856804,7.436153590489734,,,
robustness,robust-s1-baseline,Revon-H,3,True,log,log operations,96.718299,96.56128799999999,99.72962050000001,6.597575,6.4149055,6.68776025,4.799299,4.501396,4.880043000000001,8.271925,8.09767,8.3729955,4452352.0,4446208.0,4454400.0,450000.0,450000.0,450000.0,9.894115555555556,9.880462222222222,9.898666666666667,4002352.0,3996208.0,4004400.0,,,,,,,47005696.0,46807040.0,47028224.0,0.36,0.355,0.36,,,,,,,153.45315088347044,151.67547191142182,157.29781392028983,1000.0,1000.0,1000.0
robustness,robust-s1-baseline,Revon-M (forced Merkle),3,True,merkle,tree node pairs,90.736041,90.31275049999999,93.806641,6.408635,6.3031675,6.4244825,7.190037,6.9398135,7.289932,7.919783,7.8612874999999995,7.9330345,4456448.0,4448256.0,4464640.0,450000.0,450000.0,450000.0,9.903217777777778,9.885013333333333,9.921422222222223,4006448.0,3998256.0,4014640.0,,,,,,,46657536.0,46530560.0,47026176.0,0.34,0.34,0.345,,,,,,,154.71178772007985,154.59723123632904,157.89258651412553,3774.0,3774.0,3774.0
robustness,robust-s1-history-50,Dolt,3,True,dolt-native,not exposed by Dolt CLI,204.002814,198.510365,206.050015,141.35308700000002,141.29395075000002,143.95645725,105.904975,103.4241935,115.607649,73.210859,72.3177065,76.500445,13052940.0,13050914.0,13053211.5,450000.0,450000.0,450000.0,29.006533333333334,29.002031111111112,29.007136666666668,12602940.0,12600914.0,12603211.5,,,,,,,153206784.0,152903680.0,153610240.0,7.55,7.495,7.71,180224.0,139264.0,221184.0,233472.0,233472.0,235520.0,7.082756805605734,6.951176538900139,7.090061589980097,,,
robustness,robust-s1-history-50,Revon-H,3,True,merkle,tree node pairs,99.939965,98.84707449999999,100.2126465,7.4405975,7.40381775,7.502419,20.432671,20.415419999999997,20.5391995,13.325854,12.470008499999999,13.4123385,11743232.0,11724800.0,11753472.0,450000.0,450000.0,450000.0,26.09607111111111,26.05511111111111,26.118826666666667,11293232.0,11274800.0,11303472.0,,,,,,,64618496.0,64579584.0,66340864.0,1.23,1.225,1.255,,,,,,,134.99602537952276,130.74011240508264,135.34978400326952,4309.0,4309.0,4309.0
robustness,robust-s1-history-50,Revon-M (forced Merkle),3,True,merkle,tree node pairs,98.374965,96.9361825,98.793454,7.6802795,7.449870000000001,7.751866250000001,20.411574,20.3115775,21.051471,11.616864,11.292645499999999,12.499471,11751424.0,11728896.0,11769856.0,450000.0,450000.0,450000.0,26.114275555555555,26.064213333333335,26.155235555555556,11301424.0,11278896.0,11319856.0,,,,,,,64688128.0,64655360.0,64923648.0,1.26,1.2349999999999999,1.295,,,,,,,122.99713585671519,120.0562929414402,131.28470507300108,4309.0,4309.0,4309.0
robustness,robust-s1-payload-128,Dolt,3,True,dolt-native,not exposed by Dolt CLI,231.251255,227.3236225,232.0437685,136.343346,135.49628225,136.81696325000001,60.983297,60.644144499999996,63.355808499999995,79.090396,78.8594865,80.350179,3241755.0,3241738.5,3241847.0,1410000.0,1410000.0,1410000.0,2.299117021276596,2.2991053191489366,2.299182269503546,1831755.0,1831738.5,1831847.0,,,,,,,154636288.0,153600000.0,155488256.0,1.9000000000000001,1.8900000000000001,1.92,253952.0,237568.0,258048.0,65536.0,63488.0,65536.0,7.346422371793227,7.3355943821594085,7.386716731499854,,,
robustness,robust-s1-payload-128,Revon-H,3,True,log,log operations,108.075619,106.6275765,108.392836,7.0263255000000004,7.012165,7.17866275,4.646904,4.514755,4.685468,10.265167,9.8772945,10.459963,7663616.0,7651328.0,7669760.0,1410000.0,1410000.0,1410000.0,5.435188652482269,5.426473758865248,5.43954609929078,6253616.0,6241328.0,6259760.0,,,,,,,52084736.0,52021248.0,52174848.0,0.38,0.375,0.385,,,,,,,137.69490576215728,136.46436617547798,139.28949954713124,1000.0,1000.0,1000.0
robustness,robust-s1-payload-128,Revon-M (forced Merkle),3,True,merkle,tree node pairs,108.361803,107.539019,111.0014515,7.4920845,7.4628975,7.4942785,7.868964,7.3098635000000005,8.6038435,9.75832,9.6068065,10.930835,7659520.0,7636992.0,7669760.0,1410000.0,1410000.0,1410000.0,5.432283687943262,5.416306382978723,5.43954609929078,6249520.0,6226992.0,6259760.0,,,,,,,51949568.0,51924992.0,52045824.0,0.39,0.39,0.395,,,,,,,132.4919722120347,132.46303196812875,132.96217664569622,3774.0,3774.0,3774.0
robustness,robust-s1-range-local,Dolt,3,True,dolt-native,not exposed by Dolt CLI,200.429211,200.271668,200.82672250000002,129.615594,129.56489725,130.31801025,58.074336,57.7878875,58.741407,67.657686,67.16636700000001,68.1884525,784814.0,784689.5,784815.5,450000.0,450000.0,450000.0,1.744031111111111,1.7437544444444444,1.7440344444444444,334814.0,334689.5,334815.5,,,,,,,147730432.0,147519488.0,148371456.0,1.7,1.69,1.7349999999999999,155648.0,155648.0,155648.0,61440.0,61440.0,65536.0,7.729236844401417,7.670382056064636,7.732943974995493,,,
