run_id,timestamp_utc,phase,scenario,model,status,trial_kind,trial,execution_order,seed,rows,commits,changes_per_commit,locality,payload_bytes,workload_sha256,strategy_requested,strategy_selected,hybrid_threshold,initial_import_ms,incremental_commit_ms,diff_ms,checkout_ms,storage_bytes,logical_payload_bytes,storage_bytes_per_logical_payload_byte,storage_bytes_minus_logical_payload_bytes,storage_bytes_after_compaction,compaction_method,compaction_ms,process_tree_peak_rss_bytes,memory_method,work_examined,work_unit,changed_keys,correctness,notes,python_version,platform,dolt_version
4396fe06d7624623b767049064d24fb3,2026-09-23T08:29:49.897014+00:00,robustness,robust-s1-baseline,Revon-H,ok,warmup,1,1,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,hybrid,log,4096,152.6698,27.834000000000003,5.6685,9.51,4464640,450000,9.921422222222223,4014640,,not sampled,,48955392,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",1000,log operations,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
4396fe06d7624623b767049064d24fb3,2026-09-23T08:29:59.821666+00:00,robustness,robust-s1-baseline,Dolt,ok,warmup,1,2,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,dolt-native,dolt-native,4096,821.7714,652.92815,240.9914,293.308,2974633,450000,6.610295555555555,2524633,,not sampled,,149045248,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",,not exposed by Dolt CLI,962,True,,3.14.3,Windows-11-10.0.26200-SP0,dolt version 2.3.1 Warning: you are on an old version of Dolt. The newest version is 2.3.5.
4396fe06d7624623b767049064d24fb3,2026-09-23T08:30:01.251637+00:00,robustness,robust-s1-baseline,Revon-M (forced Merkle),ok,warmup,1,3,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,merkle,merkle,4096,199.3022,41.73525,14.2403,15.6818,4427776,450000,9.839502222222222,3977776,,not sampled,,48922624,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",3774,tree node pairs,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
4396fe06d7624623b767049064d24fb3,2026-09-23T08:30:14.437572+00:00,robustness,robust-s1-baseline,Dolt,ok,warmup,2,1,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,dolt-native,dolt-native,4096,979.5221,980.0890999999999,291.1716,322.9136,2974398,450000,6.609773333333333,2524398,,not sampled,,158158848,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",,not exposed by Dolt CLI,962,True,,3.14.3,Windows-11-10.0.26200-SP0,dolt version 2.3.1 Warning: you are on an old version of Dolt. The newest version is 2.3.5.
4396fe06d7624623b767049064d24fb3,2026-09-23T08:30:15.892579+00:00,robustness,robust-s1-baseline,Revon-M (forced Merkle),ok,warmup,2,2,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,merkle,merkle,4096,203.0346,40.2732,15.5145,13.4863,4464640,450000,9.921422222222223,4014640,,not sampled,,48914432,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",3774,tree node pairs,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
4396fe06d7624623b767049064d24fb3,2026-09-23T08:30:17.568271+00:00,robustness,robust-s1-baseline,Revon-H,ok,warmup,2,3,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,hybrid,log,4096,187.1107,34.97935,13.7322,16.1898,4464640,450000,9.921422222222223,4014640,,not sampled,,48988160,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",1000,log operations,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
4396fe06d7624623b767049064d24fb3,2026-09-23T08:30:19.253526+00:00,robustness,robust-s1-baseline,Revon-M (forced Merkle),ok,measured,1,1,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,merkle,merkle,4096,175.4444,56.5227,18.5723,23.2443,4456448,450000,9.903217777777778,4006448,,not sampled,,49147904,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",3774,tree node pairs,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
4396fe06d7624623b767049064d24fb3,2026-09-23T08:30:33.690838+00:00,robustness,robust-s1-baseline,Dolt,ok,measured,1,2,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,dolt-native,dolt-native,4096,1224.8438,1006.7578000000001,420.5683,334.5979,2974476,450000,6.609946666666667,2524476,,not sampled,,149680128,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",,not exposed by Dolt CLI,962,True,,3.14.3,Windows-11-10.0.26200-SP0,dolt version 2.3.1 Warning: you are on an old version of Dolt. The newest version is 2.3.5.
4396fe06d7624623b767049064d24fb3,2026-09-23T08:30:35.300806+00:00,robustness,robust-s1-baseline,Revon-H,ok,measured,1,3,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,hybrid,log,4096,188.4833,44.75135,11.5679,22.044,4505600,450000,10.012444444444444,4055600,,not sampled,,48975872,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",1000,log operations,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
4396fe06d7624623b767049064d24fb3,2026-09-23T08:30:50.373244+00:00,robustness,robust-s1-baseline,Dolt,ok,measured,2,1,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,dolt-native,dolt-native,4096,1320.1613,1013.68695,380.9652,375.9452,2975868,450000,6.61304,2525868,,not sampled,,158916608,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",,not exposed by Dolt CLI,962,True,,3.14.3,Windows-11-10.0.26200-SP0,dolt version 2.3.1 Warning: you are on an old version of Dolt. The newest version is 2.3.5.
4396fe06d7624623b767049064d24fb3,2026-09-23T08:30:52.441967+00:00,robustness,robust-s1-baseline,Revon-H,ok,measured,2,2,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,hybrid,log,4096,203.0502,38.5254,15.8316,29.449,4452352,450000,9.894115555555556,4002352,,not sampled,,48824320,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",1000,log operations,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
4396fe06d7624623b767049064d24fb3,2026-09-23T08:30:54.159388+00:00,robustness,robust-s1-baseline,Revon-M (forced Merkle),ok,measured,2,3,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,merkle,merkle,4096,225.7594,57.89345,13.6354,12.9438,4464640,450000,9.921422222222223,4014640,,not sampled,,48300032,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",3774,tree node pairs,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
4396fe06d7624623b767049064d24fb3,2026-09-23T08:30:55.862545+00:00,robustness,robust-s1-baseline,Revon-H,ok,measured,3,1,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,hybrid,log,4096,251.4523,43.5747,19.1286,22.4815,4423680,450000,9.8304,3973680,,not sampled,,48353280,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",1000,log operations,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
4396fe06d7624623b767049064d24fb3,2026-09-23T08:30:57.483558+00:00,robustness,robust-s1-baseline,Revon-M (forced Merkle),ok,measured,3,2,20260923,10000,10,100,spread,32,06ffdcc9b45dd2ca383707f7dab8f409d51cbe975dba01c3511b69a00cb077b8,merkle,merkle,4096,202.8517,55.58465,13.5861,20.0768,4489216,450000,9.976035555555555,4039216,,not sampled,,48701440,"external parent process-tree RSS sampler (psutil, 10 ms; isolated trial)",3774,tree node pairs,962,True,,3.14.3,Windows-11-10.0.26200-SP0,
