phase,scenario,model,trials,all_correct,strategy_selected,work_unit,initial_import_ms_median,initial_import_ms_p25,initial_import_ms_p75,incremental_commit_ms_median,incremental_commit_ms_p25,incremental_commit_ms_p75,diff_ms_median,diff_ms_p25,diff_ms_p75,checkout_ms_median,checkout_ms_p25,checkout_ms_p75,storage_bytes_median,storage_bytes_p25,storage_bytes_p75,logical_payload_bytes_median,logical_payload_bytes_p25,logical_payload_bytes_p75,storage_bytes_per_logical_payload_byte_median,storage_bytes_per_logical_payload_byte_p25,storage_bytes_per_logical_payload_byte_p75,storage_bytes_minus_logical_payload_bytes_median,storage_bytes_minus_logical_payload_bytes_p25,storage_bytes_minus_logical_payload_bytes_p75,storage_bytes_after_compaction_median,storage_bytes_after_compaction_p25,storage_bytes_after_compaction_p75,compaction_ms_median,compaction_ms_p25,compaction_ms_p75,process_tree_peak_rss_bytes_median,process_tree_peak_rss_bytes_p25,process_tree_peak_rss_bytes_p75,work_examined_median,work_examined_p25,work_examined_p75
robustness,robust-s1-baseline,Dolt,7,True,dolt-native,not exposed by Dolt CLI,1224.8438,1185.72185,1282.0252500000001,1006.7578000000001,837.7663,1032.445975,366.5157,296.80875000000003,375.89935,334.5979,284.34405000000004,372.10695,2974915.0,2974567.5,2975211.0,450000.0,450000.0,450000.0,6.610922222222222,6.61015,6.61158,2524915.0,2524567.5,2525211.0,,,,,,,151400448.0,149325824.0,158105600.0,,,
robustness,robust-s1-baseline,Revon-H,7,True,log,log operations,246.867,195.76675,258.73470000000003,44.75135,41.05005,52.793825,11.2487,9.7073,13.69975,22.044,19.0107,22.2744,4460544.0,4456448.0,4476928.0,450000.0,450000.0,450000.0,9.91232,9.903217777777778,9.94872888888889,4010544.0,4006448.0,4026928.0,,,,,,,48443392.0,48289792.0,48900096.0,1000.0,1000.0,1000.0
robustness,robust-s1-baseline,Revon-M (forced Merkle),7,True,merkle,tree node pairs,210.7121,189.14805,253.7428,55.58465,48.147724999999994,57.182900000000004,13.6354,12.86055,16.8626,18.4739,15.48875,21.212699999999998,4464640.0,4454400.0,4470784.0,450000.0,450000.0,450000.0,9.921422222222223,9.898666666666667,9.935075555555557,4014640.0,4004400.0,4020784.0,,,,,,,48824320.0,48709632.0,48939008.0,3774.0,3774.0,3774.0
robustness,robust-s1-history-50,Dolt,7,True,dolt-native,not exposed by Dolt CLI,926.5141,881.95065,1091.1669,1040.2619,1012.7016000000001,1153.573675,544.2805,477.63315,681.1554,372.1081,303.71575,472.42544999999996,13056759.0,13055876.5,13057848.5,450000.0,450000.0,450000.0,29.01502,29.01305888888889,29.01744111111111,12606759.0,12605876.5,12607848.5,,,,,,,172437504.0,165861376.0,173772800.0,,,
robustness,robust-s1-history-50,Revon-H,7,True,merkle,tree node pairs,186.532,178.1891,322.72085,60.6498,45.616575,108.446,60.9224,50.5583,79.6842,27.6377,23.822850000000003,36.113550000000004,11722752.0,11708416.0,11737088.0,450000.0,450000.0,450000.0,26.05056,26.018702222222224,26.082417777777778,11272752.0,11258416.0,11287088.0,,,,,,,68124672.0,67782656.0,68184064.0,4309.0,4309.0,4309.0
robustness,robust-s1-history-50,Revon-M (forced Merkle),7,True,merkle,tree node pairs,197.8163,189.94155,243.4118,63.6601,47.627674999999996,73.88274999999999,60.6283,56.137550000000005,71.414,27.4885,25.48055,30.8061,11702272.0,11677696.0,11718656.0,450000.0,450000.0,450000.0,26.00504888888889,25.950435555555554,26.04145777777778,11252272.0,11227696.0,11268656.0,,,,,,,67899392.0,67710976.0,68141056.0,4309.0,4309.0,4309.0
robustness,robust-s1-payload-128,Dolt,7,True,dolt-native,not exposed by Dolt CLI,1135.0437,961.4635499999999,1279.76705,755.19795,741.090025,869.2279,288.1247,271.977,293.33050000000003,322.3341,299.4304,349.18595,3242569.0,3242330.0,3242721.5,1410000.0,1410000.0,1410000.0,2.2996943262411347,2.2995248226950356,2.2998024822695036,1832569.0,1832330.0,1832721.5,,,,,,,149794816.0,149366784.0,167219200.0,,,
robustness,robust-s1-payload-128,Revon-H,7,True,log,log operations,248.2609,236.0408,275.10405000000003,51.65995,46.85265,52.89425,7.3746,6.994149999999999,7.622,18.7728,18.6663,18.96825,7692288.0,7677952.0,7694336.0,1410000.0,1410000.0,1410000.0,5.455523404255319,5.445356028368794,5.456975886524823,6282288.0,6267952.0,6284336.0,,,,,,,52809728.0,52563968.0,52961280.0,1000.0,1000.0,1000.0
robustness,robust-s1-payload-128,Revon-M (forced Merkle),7,True,merkle,tree node pairs,202.6005,198.65480000000002,210.25965,48.12925,44.78785,49.7518,12.4131,10.757100000000001,13.13375,17.2679,16.8818,17.7549,7675904.0,7653376.0,7686144.0,1410000.0,1410000.0,1410000.0,5.443903546099291,5.427926241134752,5.4511659574468085,6265904.0,6243376.0,6276144.0,,,,,,,52723712.0,52539392.0,52920320.0,3774.0,3774.0,3774.0
robustness,robust-s1-range-local,Dolt,7,True,dolt-native,not exposed by Dolt CLI,822.2064,788.4791499999999,1016.2792,845.52315,764.38575,866.358025,348.4056,316.03465,383.01745000000005,324.472,311.29179999999997,368.69214999999997,785008.0,784799.5,785205.0,450000.0,450000.0,450000.0,1.7444622222222221,1.7439988888888889,1.7449,335008.0,334799.5,335205.0,,,,,,,151502848.0,149573632.0,155924480.0,,,
